Latitude (decimal degrees):	50.936
Longitude (decimal degrees):	6.985
Elevation (m):	47
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180106:0810,0.0,2.71,3.66,3.79,1.93,0.0
20180106:0910,898.0,117.42,9.77,5.17,1.59,0.0
20180106:1010,1393.1,173.56,14.11,6.63,1.17,0.0
20180106:1110,1624.0,200.4,16.32,7.6,0.97,0.0
20180106:1210,577.6,83.07,16.19,8.13,0.76,0.0
20180106:1310,374.0,58.8,13.74,8.26,1.17,0.0
20180106:1410,528.5,76.77,9.18,7.89,1.52,0.0
20180106:1510,72.2,19.06,2.9,7.35,1.93,0.0
20180106:1610,0.0,0.0,0.0,6.9,2.21,0.0
20180106:1710,0.0,0.0,0.0,6.6,2.55,0.0
20180106:1810,0.0,0.0,0.0,6.38,2.76,0.0
20180106:1910,0.0,0.0,0.0,5.64,2.34,0.0
20180106:2010,0.0,0.0,0.0,5.41,2.48,0.0
20180106:2110,0.0,0.0,0.0,5.23,2.69,0.0
20180106:2210,0.0,0.0,0.0,5.11,2.83,0.0
20180106:2310,0.0,0.0,0.0,4.97,3.03,0.0
20180107:0010,0.0,0.0,0.0,4.8,3.38,0.0
20180107:0110,0.0,0.0,0.0,4.59,3.72,0.0
20180107:0210,0.0,0.0,0.0,4.43,3.86,0.0
20180107:0310,0.0,0.0,0.0,4.22,3.93,0.0
20180107:0410,0.0,0.0,0.0,3.95,4.0,0.0
20180107:0510,0.0,0.0,0.0,3.67,4.28,0.0
20180107:0610,0.0,0.0,0.0,3.33,4.34,0.0
20180107:0710,0.0,0.0,0.0,3.47,4.21,0.0
20180107:0810,200.9,36.13,3.72,3.32,4.48,0.0
20180107:0910,165.5,31.66,9.85,3.34,4.48,0.0
20180107:1010,1624.2,195.19,14.21,3.6,3.93,0.0
20180107:1110,1549.3,187.7,16.44,3.81,3.86,0.0
20180107:1210,307.8,49.76,16.33,4.13,4.14,0.0
20180107:1310,428.0,64.23,13.88,4.41,4.41,0.0
20180107:1410,602.2,83.96,9.33,4.41,4.21,0.0
20180107:1510,226.9,40.16,3.05,4.08,4.28,0.0
20180107:1610,0.0,0.0,0.0,3.42,4.14,0.0
20180107:1710,0.0,0.0,0.0,3.34,4.14,0.0
20180107:1810,0.0,0.0,0.0,3.08,4.07,0.0
20180107:1910,0.0,0.0,0.0,2.89,4.21,0.0
20180107:2010,0.0,0.0,0.0,2.98,4.34,0.0
20180107:2110,0.0,0.0,0.0,3.04,4.34,0.0
20180107:2210,0.0,0.0,0.0,3.02,4.21,0.0
20180107:2310,0.0,0.0,0.0,3.01,4.0,0.0
20180108:0010,0.0,0.0,0.0,2.74,3.72,0.0
20180108:0110,0.0,0.0,0.0,2.67,3.72,0.0
20180108:0210,0.0,0.0,0.0,2.62,3.79,0.0
20180108:0310,0.0,0.0,0.0,2.69,4.0,0.0
20180108:0410,0.0,0.0,0.0,2.78,4.07,0.0
20180108:0510,0.0,0.0,0.0,2.67,4.0,0.0
20180108:0610,0.0,0.0,0.0,2.59,4.21,0.0
20180108:0710,0.0,0.0,0.0,3.08,4.55,0.0
20180108:0810,11.0,8.14,3.79,2.81,4.55,0.0
20180108:0910,2260.6,262.84,9.94,3.16,4.28,0.0
20180108:1010,1916.4,226.87,14.31,3.89,4.07,0.0
20180108:1110,846.9,111.93,16.56,4.67,4.21,0.0
20180108:1210,2645.0,308.0,16.46,5.57,4.28,0.0
20180108:1310,906.6,118.95,14.03,6.14,4.14,0.0
20180108:1410,2616.0,307.18,9.49,6.21,3.52,0.0
20180108:1510,437.8,66.65,3.21,5.89,3.59,0.0
20180108:1610,0.0,0.0,0.0,4.98,3.59,0.0
20180108:1710,0.0,0.0,0.0,4.34,3.79,0.0
20180108:1810,0.0,0.0,0.0,4.24,4.07,0.0
20180108:1910,0.0,0.0,0.0,4.39,4.69,0.0
20180108:2010,0.0,0.0,0.0,4.39,4.83,0.0
20180108:2110,0.0,0.0,0.0,4.36,4.9,0.0
20180108:2210,0.0,0.0,0.0,4.54,4.69,0.0
20180108:2310,0.0,0.0,0.0,4.45,4.48,0.0
20180109:0010,0.0,0.0,0.0,4.42,4.34,0.0
20180109:0110,0.0,0.0,0.0,4.42,4.21,0.0
20180109:0210,0.0,0.0,0.0,4.36,4.0,0.0
20180109:0310,0.0,0.0,0.0,4.12,3.86,0.0
20180109:0410,0.0,0.0,0.0,4.12,3.93,0.0
20180109:0510,0.0,0.0,0.0,4.41,3.86,0.0
20180109:0610,0.0,0.0,0.0,4.23,3.66,0.0
20180109:0710,0.0,0.0,0.0,3.9,4.48,0.0
20180109:0810,264.0,44.14,3.86,4.02,4.41,0.0
20180109:0910,308.8,49.84,10.03,4.53,4.07,0.0
20180109:1010,528.4,76.13,14.43,5.27,4.0,0.0
20180109:1110,485.7,71.47,16.69,6.04,4.21,0.0
20180109:1210,103.8,23.52,16.61,6.64,3.66,0.0
20180109:1310,4474.0,519.25,14.19,6.98,3.1,0.0
20180109:1410,3485.3,407.41,9.65,7.09,2.97,0.0
20180109:1510,1172.1,152.56,3.38,6.86,2.97,0.0
20180109:1610,0.0,0.0,0.0,6.44,3.17,0.0
20180109:1710,0.0,0.0,0.0,6.15,3.17,0.0
20180109:1810,0.0,0.0,0.0,5.95,2.97,0.0
20180109:1910,0.0,0.0,0.0,5.64,3.17,0.0
20180109:2010,0.0,0.0,0.0,5.34,3.17,0.0
20180109:2110,0.0,0.0,0.0,5.04,3.31,0.0
20180109:2210,0.0,0.0,0.0,4.99,3.31,0.0
20180109:2310,0.0,0.0,0.0,5.03,3.31,0.0
20180110:0010,0.0,0.0,0.0,5.17,3.17,0.0
20180110:0110,0.0,0.0,0.0,5.58,3.1,0.0
20180110:0210,0.0,0.0,0.0,5.94,2.97,0.0
20180110:0310,0.0,0.0,0.0,6.25,2.9,0.0
20180110:0410,0.0,0.0,0.0,6.13,2.97,0.0
20180110:0510,0.0,0.0,0.0,6.04,3.03,0.0
20180110:0610,0.0,0.0,0.0,6.08,2.97,0.0
20180110:0710,0.0,0.0,0.0,5.79,3.03,0.0
20180110:0810,126.5,26.6,3.94,5.78,2.97,0.0
20180110:0910,312.6,50.7,10.12,6.49,2.9,0.0
20180110:1010,3660.8,425.32,14.54,7.06,3.03,0.0
20180110:1110,1296.0,163.39,16.83,7.94,3.31,0.0
20180110:1210,1391.2,174.41,16.76,8.56,2.97,0.0
20180110:1310,1424.1,177.96,14.35,8.93,3.24,0.0
20180110:1410,962.2,126.5,9.82,8.78,2.48,0.0
20180110:1510,10.4,8.14,3.55,8.37,2.28,0.0
20180110:1610,0.0,0.0,0.0,7.56,2.41,0.0
20180110:1710,0.0,0.0,0.0,7.29,2.48,0.0
20180110:1810,0.0,0.0,0.0,7.05,2.41,0.0
20180110:1910,0.0,0.0,0.0,6.76,2.62,0.0
20180110:2010,0.0,0.0,0.0,6.69,2.48,0.0
20180110:2110,0.0,0.0,0.0,6.7,2.28,0.0
20180110:2210,0.0,0.0,0.0,6.44,2.07,0.0
20180110:2310,0.0,0.0,0.0,6.32,2.0,0.0
20180111:0010,0.0,0.0,0.0,6.28,1.72,0.0
20180111:0110,0.0,0.0,0.0,6.17,1.52,0.0
20180111:0210,0.0,0.0,0.0,6.02,1.31,0.0
20180111:0310,0.0,0.0,0.0,6.07,1.17,0.0
20180111:0410,0.0,0.0,0.0,6.02,1.1,0.0
20180111:0510,0.0,0.0,0.0,5.92,1.03,0.0
20180111:0610,0.0,0.0,0.0,5.69,1.17,0.0
20180111:0710,0.0,0.0,0.0,5.85,1.38,0.0
20180111:0810,268.8,45.1,4.03,5.69,1.38,0.0
20180111:0910,852.9,112.92,10.23,5.86,1.03,0.0
20180111:1010,1281.6,161.83,14.67,7.14,0.9,0.0
20180111:1110,1081.6,140.38,16.97,7.77,0.62,0.0
20180111:1210,1798.6,221.0,16.92,7.89,0.28,0.0
20180111:1310,1856.7,226.33,14.52,7.88,1.1,0.0
20180111:1410,1182.3,150.93,10.0,7.97,1.66,0.0
20180111:1510,738.6,102.77,3.73,7.49,1.59,0.0
20180111:1610,0.0,0.0,0.0,6.7,1.66,0.0
20180111:1710,0.0,0.0,0.0,6.29,1.52,0.0
20180111:1810,0.0,0.0,0.0,5.98,1.45,0.0
20180111:1910,0.0,0.0,0.0,5.17,1.45,0.0
20180111:2010,0.0,0.0,0.0,4.8,1.38,0.0
20180111:2110,0.0,0.0,0.0,4.27,1.52,0.0
20180111:2210,0.0,0.0,0.0,4.01,1.45,0.0
20180111:2310,0.0,0.0,0.0,3.89,1.38,0.0
20180112:0010,0.0,0.0,0.0,3.92,1.24,0.0
20180112:0110,0.0,0.0,0.0,4.01,1.24,0.0
20180112:0210,0.0,0.0,0.0,4.28,1.1,0.0
20180112:0310,0.0,0.0,0.0,4.31,1.1,0.0
20180112:0410,0.0,0.0,0.0,4.28,1.17,0.0
20180112:0510,0.0,0.0,0.0,4.21,1.17,0.0
20180112:0610,0.0,0.0,0.0,4.12,1.1,0.0
20180112:0710,0.0,0.0,0.0,4.37,1.38,0.0
20180112:0810,62.3,17.19,4.12,4.36,1.31,0.0
20180112:0910,344.7,54.27,10.34,4.39,1.17,0.0
20180112:1010,314.1,50.66,14.8,4.41,1.03,0.0
20180112:1110,464.8,68.75,17.13,4.48,1.17,0.0
20180112:1210,380.3,58.8,17.09,4.96,1.31,0.0
20180112:1310,508.9,74.06,14.7,5.32,1.24,0.0
20180112:1410,310.3,50.28,10.18,5.29,1.1,0.0
20180112:1510,29.4,11.76,3.91,5.31,0.9,0.0
20180112:1610,0.0,0.0,0.0,5.18,0.62,0.0
20180112:1710,0.0,0.0,0.0,5.08,0.34,0.0
20180112:1810,0.0,0.0,0.0,5.01,0.34,0.0
20180112:1910,0.0,0.0,0.0,4.71,0.62,0.0
20180112:2010,0.0,0.0,0.0,4.61,0.83,0.0
20180112:2110,0.0,0.0,0.0,4.48,0.97,0.0
20180112:2210,0.0,0.0,0.0,4.57,1.1,0.0
20180112:2310,0.0,0.0,0.0,4.58,1.38,0.0
20180113:0010,0.0,0.0,0.0,4.69,1.52,0.0
20180113:0110,0.0,0.0,0.0,4.84,1.66,0.0
20180113:0210,0.0,0.0,0.0,4.77,1.79,0.0
20180113:0310,0.0,0.0,0.0,4.47,2.0,0.0
20180113:0410,0.0,0.0,0.0,4.47,2.28,0.0
20180113:0510,0.0,0.0,0.0,4.45,2.48,0.0
20180113:0610,0.0,0.0,0.0,4.36,2.48,0.0
20180113:0710,0.0,0.0,0.0,4.38,2.62,0.0
20180113:0810,40.1,13.57,4.22,4.11,3.03,0.0
20180113:0910,185.1,34.38,10.46,4.43,3.52,0.0
20180113:1010,473.3,69.66,14.94,4.76,4.14,0.0
20180113:1110,1075.3,137.29,17.29,5.23,4.9,0.0
20180113:1210,1296.8,161.8,17.26,5.73,4.62,0.0
20180113:1310,1476.0,181.41,14.88,6.1,4.0,0.0
20180113:1410,1727.1,208.88,10.37,6.12,3.86,0.0
20180113:1510,233.2,40.99,4.1,5.62,3.52,0.0
20180113:1610,0.0,0.0,0.0,4.72,3.59,0.0
20180113:1710,0.0,0.0,0.0,4.62,4.07,0.0
20180113:1810,0.0,0.0,0.0,4.22,4.14,0.0
20180113:1910,0.0,0.0,0.0,3.54,3.66,0.0
20180113:2010,0.0,0.0,0.0,3.41,3.59,0.0
20180113:2110,0.0,0.0,0.0,3.65,3.59,0.0
20180113:2210,0.0,0.0,0.0,3.57,3.52,0.0
20180113:2310,0.0,0.0,0.0,3.47,3.45,0.0
20180114:0010,0.0,0.0,0.0,3.3,3.38,0.0
20180114:0110,0.0,0.0,0.0,3.1,3.38,0.0
20180114:0210,0.0,0.0,0.0,2.58,3.38,0.0
20180114:0310,0.0,0.0,0.0,2.05,3.45,0.0
20180114:0410,0.0,0.0,0.0,1.64,3.66,0.0
20180114:0510,0.0,0.0,0.0,1.32,3.72,0.0
20180114:0610,0.0,0.0,0.0,1.08,3.72,0.0
20180114:0710,0.0,0.0,0.0,1.43,4.07,0.0
20180114:0810,2257.4,263.38,4.33,1.2,4.14,0.0
20180114:0910,4455.1,502.1,10.59,1.73,4.14,0.0
20180114:1010,5811.5,656.97,15.09,2.56,4.76,0.0
20180114:1110,3789.8,429.88,17.45,3.45,4.9,0.0
20180114:1210,2233.2,261.38,17.44,4.06,4.76,0.0
20180114:1310,4379.3,498.55,15.07,4.41,4.55,0.0
20180114:1410,1927.2,228.94,10.56,4.41,4.21,0.0
20180114:1510,1562.0,193.54,4.29,3.9,3.72,0.0
20180114:1610,0.0,0.0,0.0,2.89,3.86,0.0
20180114:1710,0.0,0.0,0.0,2.21,4.07,0.0
20180114:1810,0.0,0.0,0.0,1.85,4.21,0.0
20180114:1910,0.0,0.0,0.0,1.52,4.28,0.0
20180114:2010,0.0,0.0,0.0,1.51,4.21,0.0
20180114:2110,0.0,0.0,0.0,1.36,4.14,0.0
20180114:2210,0.0,0.0,0.0,1.31,4.07,0.0
20180114:2310,0.0,0.0,0.0,1.42,4.0,0.0
20180115:0010,0.0,0.0,0.0,1.71,3.93,0.0
20180115:0110,0.0,0.0,0.0,1.78,3.79,0.0
20180115:0210,0.0,0.0,0.0,1.99,3.72,0.0
20180115:0310,0.0,0.0,0.0,2.29,3.66,0.0
20180115:0410,0.0,0.0,0.0,2.43,3.59,0.0
20180115:0510,0.0,0.0,0.0,2.88,3.59,0.0
20180115:0610,0.0,0.0,0.0,3.48,3.66,0.0
20180115:0710,0.0,0.0,0.0,3.69,4.0,0.0
20180115:0810,120.6,25.63,4.44,4.25,4.21,0.0
20180115:0910,1292.7,160.17,10.72,5.12,4.55,0.0
20180115:1010,1966.3,234.01,15.24,5.96,5.03,0.0
20180115:1110,1023.2,132.41,17.62,6.61,4.41,0.0
20180115:1210,415.6,63.33,17.63,6.79,5.24,0.0
20180115:1310,493.2,72.37,15.27,6.45,7.17,0.0
20180115:1410,130.0,27.14,10.76,6.04,6.9,0.0
20180115:1510,296.4,48.9,4.49,5.79,6.97,0.0
20180115:1610,0.0,0.0,0.0,5.6,7.24,0.0
20180115:1710,0.0,0.0,0.0,5.07,7.59,0.0
20180115:1810,0.0,0.0,0.0,4.8,8.28,0.0
20180115:1910,0.0,0.0,0.0,5.04,8.0,0.0
20180115:2010,0.0,0.0,0.0,5.17,7.86,0.0
20180115:2110,0.0,0.0,0.0,5.46,6.97,0.0
20180115:2210,0.0,0.0,0.0,6.2,6.21,0.0
20180115:2310,0.0,0.0,0.0,6.79,6.14,0.0
20180116:0010,0.0,0.0,0.0,6.59,6.28,0.0
20180116:0110,0.0,0.0,0.0,5.95,6.28,0.0
20180116:0210,0.0,0.0,0.0,5.53,5.45,0.0
20180116:0310,0.0,0.0,0.0,5.46,5.59,0.0
20180116:0410,0.0,0.0,0.0,5.66,5.45,0.0
20180116:0510,0.0,0.0,0.0,5.73,6.07,0.0
20180116:0610,0.0,0.0,0.0,5.46,5.72,0.0
20180116:0710,0.0,0.0,0.0,5.2,5.31,0.0
20180116:0810,357.5,55.82,4.56,5.52,5.45,0.0
20180116:0910,2142.2,251.23,10.86,5.36,7.52,0.0
20180116:1010,74.1,19.0,15.4,4.77,7.86,0.0
20180116:1110,977.5,126.35,17.8,4.76,5.86,0.0
20180116:1210,254.9,43.42,17.82,5.43,4.97,0.0
20180116:1310,157.2,30.76,15.47,5.14,5.24,0.0
20180116:1410,79.9,19.9,10.96,5.15,5.45,0.0
20180116:1510,0.0,4.52,4.69,4.15,6.28,0.0
20180116:1610,0.0,0.0,0.0,3.36,5.24,0.0
20180116:1710,0.0,0.0,0.0,3.05,4.34,0.0
20180116:1810,0.0,0.0,0.0,2.6,4.48,0.0
20180116:1910,0.0,0.0,0.0,2.58,4.07,0.0
20180116:2010,0.0,0.0,0.0,2.44,3.79,0.0
20180116:2110,0.0,0.0,0.0,2.54,4.14,0.0
20180116:2210,0.0,0.0,0.0,2.44,4.48,0.0
20180116:2310,0.0,0.0,0.0,2.41,4.41,0.0
20180117:0010,0.0,0.0,0.0,2.58,3.72,0.0
20180117:0110,0.0,0.0,0.0,2.07,3.93,0.0
20180117:0210,0.0,0.0,0.0,1.58,5.31,0.0
20180117:0310,0.0,0.0,0.0,1.71,6.0,0.0
20180117:0410,0.0,0.0,0.0,1.47,5.79,0.0
20180117:0510,0.0,0.0,0.0,1.06,5.59,0.0
20180117:0610,0.0,0.0,0.0,1.02,6.41,0.0
20180117:0710,0.0,0.0,0.0,0.95,6.62,0.0
20180117:0810,2102.7,245.31,4.69,0.94,6.34,0.0
20180117:0910,1837.0,215.08,11.01,1.29,6.21,0.0
20180117:1010,259.9,43.42,15.57,1.67,5.59,0.0
20180117:1110,209.0,37.09,17.99,1.85,5.38,0.0
20180117:1210,3135.2,355.54,18.02,2.3,5.79,0.0
20180117:1310,208.3,37.09,15.68,2.51,5.38,0.0
20180117:1410,1285.0,158.03,11.17,3.03,6.55,0.0
20180117:1510,62.8,17.19,4.9,3.38,6.76,0.0
20180117:1610,0.0,0.0,0.0,3.09,6.48,0.0
20180117:1710,0.0,0.0,0.0,2.49,5.66,0.0
20180117:1810,0.0,0.0,0.0,2.31,5.31,0.0
20180117:1910,0.0,0.0,0.0,1.93,4.83,0.0
20180117:2010,0.0,0.0,0.0,2.03,4.83,0.0
20180117:2110,0.0,0.0,0.0,2.07,4.83,0.0
20180117:2210,0.0,0.0,0.0,2.2,4.62,0.0
20180117:2310,0.0,0.0,0.0,2.05,4.48,0.0
20180118:0010,0.0,0.0,0.0,2.3,4.62,0.0
20180118:0110,0.0,0.0,0.0,2.39,4.76,0.0
20180118:0210,0.0,0.0,0.0,2.49,4.69,0.0
20180118:0310,0.0,0.0,0.0,2.51,4.69,0.0
20180118:0410,0.0,0.0,0.0,2.83,5.72,0.0
20180118:0510,0.0,0.0,0.0,3.03,7.17,0.0
20180118:0610,0.0,0.0,0.0,4.39,8.69,0.0
20180118:0710,0.0,0.0,0.0,5.67,9.38,0.0
20180118:0810,341.2,54.18,4.83,7.4,10.41,0.0
20180118:0910,2629.9,306.26,11.17,8.25,11.24,0.0
20180118:1010,2153.1,254.87,15.75,8.4,12.28,0.0
20180118:1110,900.5,119.01,18.18,7.92,12.83,0.0
20180118:1210,2766.9,319.55,18.23,6.79,11.45,0.0
20180118:1310,2101.3,247.59,15.89,6.09,9.31,0.0
20180118:1410,4229.3,481.01,11.39,5.66,7.52,0.0
20180118:1510,1957.6,237.29,5.11,5.19,6.48,0.0
20180118:1610,0.0,0.0,0.0,4.53,5.38,0.0
20180118:1710,0.0,0.0,0.0,4.13,4.34,0.0
20180118:1810,0.0,0.0,0.0,3.5,3.66,0.0
20180118:1910,0.0,0.0,0.0,3.01,3.03,0.0
20180118:2010,0.0,0.0,0.0,2.7,2.55,0.0
20180118:2110,0.0,0.0,0.0,2.4,2.07,0.0
20180118:2210,0.0,0.0,0.0,2.12,2.07,0.0
20180118:2310,0.0,0.0,0.0,1.71,2.41,0.0
20180119:0010,0.0,0.0,0.0,1.76,3.03,0.0
20180119:0110,0.0,0.0,0.0,1.42,3.03,0.0
20180119:0210,0.0,0.0,0.0,1.64,3.38,0.0
20180119:0310,0.0,0.0,0.0,1.95,3.93,0.0
20180119:0410,0.0,0.0,0.0,2.21,4.83,0.0
20180119:0510,0.0,0.0,0.0,2.1,4.97,0.0
20180119:0610,0.0,0.0,0.0,2.15,4.9,0.0
