Latitude (decimal degrees):	50.937
Longitude (decimal degrees):	6.984
Elevation (m):	49
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180106:0810,0.0,3.0,3.66,3.79,1.93,0.0
20180106:0910,529.3,80.0,9.77,5.17,1.59,0.0
20180106:1010,923.2,126.0,14.11,6.63,1.17,0.0
20180106:1110,1131.0,150.0,16.32,7.6,0.97,0.0
20180106:1210,624.2,89.0,16.19,8.13,0.76,0.0
20180106:1310,423.8,65.0,13.73,8.26,1.17,0.0
20180106:1410,403.0,64.0,9.18,7.89,1.52,0.0
20180106:1510,25.4,11.85,2.9,7.35,1.93,0.0
20180106:1610,0.0,0.0,0.0,6.9,2.21,0.0
20180106:1710,0.0,0.0,0.0,6.6,2.55,0.0
20180106:1810,0.0,0.0,0.0,6.38,2.76,0.0
20180106:1910,0.0,0.0,0.0,5.64,2.34,0.0
20180106:2010,0.0,0.0,0.0,5.41,2.48,0.0
20180106:2110,0.0,0.0,0.0,5.23,2.69,0.0
20180106:2210,0.0,0.0,0.0,5.11,2.83,0.0
20180106:2310,0.0,0.0,0.0,4.97,3.03,0.0
20180107:0010,0.0,0.0,0.0,4.8,3.38,0.0
20180107:0110,0.0,0.0,0.0,4.59,3.72,0.0
20180107:0210,0.0,0.0,0.0,4.43,3.86,0.0
20180107:0310,0.0,0.0,0.0,4.22,3.93,0.0
20180107:0410,0.0,0.0,0.0,3.95,4.0,0.0
20180107:0510,0.0,0.0,0.0,3.67,4.28,0.0
20180107:0610,0.0,0.0,0.0,3.33,4.34,0.0
20180107:0710,0.0,0.0,0.0,3.47,4.21,0.0
20180107:0810,83.0,21.56,3.72,3.32,4.48,0.0
20180107:0910,190.4,35.0,9.85,3.34,4.48,0.0
20180107:1010,996.7,133.0,14.21,3.6,3.93,0.0
20180107:1110,1126.6,146.0,16.44,3.81,3.86,0.0
20180107:1210,350.0,55.0,16.32,4.13,4.14,0.0
20180107:1310,484.2,71.0,13.88,4.41,4.41,0.0
20180107:1410,442.3,68.0,9.33,4.41,4.21,0.0
20180107:1510,50.4,17.4,3.05,4.08,4.28,0.0
20180107:1610,0.0,0.0,0.0,3.42,4.14,0.0
20180107:1710,0.0,0.0,0.0,3.34,4.14,0.0
20180107:1810,0.0,0.0,0.0,3.08,4.07,0.0
20180107:1910,0.0,0.0,0.0,2.89,4.21,0.0
20180107:2010,0.0,0.0,0.0,2.98,4.34,0.0
20180107:2110,0.0,0.0,0.0,3.04,4.34,0.0
20180107:2210,0.0,0.0,0.0,3.02,4.21,0.0
20180107:2310,0.0,0.0,0.0,3.01,4.0,0.0
20180108:0010,0.0,0.0,0.0,2.74,3.72,0.0
20180108:0110,0.0,0.0,0.0,2.67,3.72,0.0
20180108:0210,0.0,0.0,0.0,2.62,3.79,0.0
20180108:0310,0.0,0.0,0.0,2.69,4.0,0.0
20180108:0410,0.0,0.0,0.0,2.78,4.07,0.0
20180108:0510,0.0,0.0,0.0,2.67,4.0,0.0
20180108:0610,0.0,0.0,0.0,2.59,4.21,0.0
20180108:0710,0.0,0.0,0.0,3.08,4.55,0.0
20180108:0810,15.1,9.0,3.78,2.81,4.55,0.0
20180108:0910,741.4,112.0,9.93,3.16,4.28,0.0
20180108:1010,1084.2,144.0,14.31,3.89,4.07,0.0
20180108:1110,836.9,112.0,16.56,4.67,4.21,0.0
20180108:1210,1414.3,183.0,16.46,5.57,4.28,0.0
20180108:1310,770.4,106.0,14.03,6.14,4.14,0.0
20180108:1410,726.4,117.01,9.49,6.21,3.52,0.0
20180108:1510,64.3,21.71,3.21,5.89,3.59,0.0
20180108:1610,0.0,0.0,0.0,4.98,3.59,0.0
20180108:1710,0.0,0.0,0.0,4.34,3.79,0.0
20180108:1810,0.0,0.0,0.0,4.24,4.07,0.0
20180108:1910,0.0,0.0,0.0,4.39,4.69,0.0
20180108:2010,0.0,0.0,0.0,4.39,4.83,0.0
20180108:2110,0.0,0.0,0.0,4.36,4.9,0.0
20180108:2210,0.0,0.0,0.0,4.54,4.69,0.0
20180108:2310,0.0,0.0,0.0,4.45,4.48,0.0
20180109:0010,0.0,0.0,0.0,4.42,4.34,0.0
20180109:0110,0.0,0.0,0.0,4.42,4.21,0.0
20180109:0210,0.0,0.0,0.0,4.36,4.0,0.0
20180109:0310,0.0,0.0,0.0,4.12,3.86,0.0
20180109:0410,0.0,0.0,0.0,4.12,3.93,0.0
20180109:0510,0.0,0.0,0.0,4.41,3.86,0.0
20180109:0610,0.0,0.0,0.0,4.23,3.66,0.0
20180109:0710,0.0,0.0,0.0,3.9,4.48,0.0
20180109:0810,83.9,22.37,3.86,4.02,4.41,0.0
20180109:0910,314.0,51.0,10.03,4.53,4.07,0.0
20180109:1010,566.3,81.0,14.42,5.27,4.0,0.0
20180109:1110,548.5,79.0,16.69,6.04,4.21,0.0
20180109:1210,120.8,26.0,16.61,6.64,3.66,0.0
20180109:1310,1449.5,203.01,14.19,6.98,3.1,0.0
20180109:1410,787.3,133.01,9.65,7.09,2.97,0.0
20180109:1510,68.7,29.74,3.38,6.86,2.97,0.0
20180109:1610,0.0,0.0,0.0,6.44,3.17,0.0
20180109:1710,0.0,0.0,0.0,6.15,3.17,0.0
20180109:1810,0.0,0.0,0.0,5.95,2.97,0.0
20180109:1910,0.0,0.0,0.0,5.64,3.17,0.0
20180109:2010,0.0,0.0,0.0,5.34,3.17,0.0
20180109:2110,0.0,0.0,0.0,5.04,3.31,0.0
20180109:2210,0.0,0.0,0.0,4.99,3.31,0.0
20180109:2310,0.0,0.0,0.0,5.03,3.31,0.0
20180110:0010,0.0,0.0,0.0,5.17,3.17,0.0
20180110:0110,0.0,0.0,0.0,5.58,3.1,0.0
20180110:0210,0.0,0.0,0.0,5.94,2.97,0.0
20180110:0310,0.0,0.0,0.0,6.25,2.9,0.0
20180110:0410,0.0,0.0,0.0,6.13,2.97,0.0
20180110:0510,0.0,0.0,0.0,6.04,3.03,0.0
20180110:0610,0.0,0.0,0.0,6.08,2.97,0.0
20180110:0710,0.0,0.0,0.0,5.79,3.03,0.0
20180110:0810,81.0,20.79,3.94,5.78,2.97,0.0
20180110:0910,318.8,52.0,10.12,6.49,2.9,0.0
20180110:1010,1378.9,188.01,14.54,7.06,3.03,0.0
20180110:1110,1049.4,139.0,16.83,7.94,3.31,0.0
20180110:1210,1077.6,143.0,16.76,8.56,2.97,0.0
20180110:1310,949.5,130.0,14.35,8.93,3.24,0.0
20180110:1410,546.8,84.0,9.82,8.78,2.48,0.0
20180110:1510,14.4,9.0,3.55,8.37,2.28,0.0
20180110:1610,0.0,0.0,0.0,7.56,2.41,0.0
20180110:1710,0.0,0.0,0.0,7.29,2.48,0.0
20180110:1810,0.0,0.0,0.0,7.05,2.41,0.0
20180110:1910,0.0,0.0,0.0,6.76,2.62,0.0
20180110:2010,0.0,0.0,0.0,6.69,2.48,0.0
20180110:2110,0.0,0.0,0.0,6.7,2.28,0.0
20180110:2210,0.0,0.0,0.0,6.44,2.07,0.0
20180110:2310,0.0,0.0,0.0,6.32,2.0,0.0
20180111:0010,0.0,0.0,0.0,6.28,1.72,0.0
20180111:0110,0.0,0.0,0.0,6.17,1.52,0.0
20180111:0210,0.0,0.0,0.0,6.02,1.31,0.0
20180111:0310,0.0,0.0,0.0,6.07,1.17,0.0
20180111:0410,0.0,0.0,0.0,6.02,1.1,0.0
20180111:0510,0.0,0.0,0.0,5.92,1.03,0.0
20180111:0610,0.0,0.0,0.0,5.69,1.17,0.0
20180111:0710,0.0,0.0,0.0,5.85,1.38,0.0
20180111:0810,96.7,24.33,4.03,5.69,1.38,0.0
20180111:0910,548.1,82.0,10.23,5.86,1.03,0.0
20180111:1010,926.5,126.0,14.67,7.14,0.9,0.0
20180111:1110,962.2,129.0,16.97,7.77,0.62,0.0
20180111:1210,1228.3,162.0,16.92,7.89,0.28,0.0
20180111:1310,1073.6,146.0,14.52,7.88,1.1,0.0
20180111:1410,604.6,92.0,10.0,7.97,1.66,0.0
20180111:1510,95.4,29.49,3.73,7.49,1.59,0.0
20180111:1610,0.0,0.0,0.0,6.7,1.66,0.0
20180111:1710,0.0,0.0,0.0,6.29,1.52,0.0
20180111:1810,0.0,0.0,0.0,5.98,1.45,0.0
20180111:1910,0.0,0.0,0.0,5.17,1.45,0.0
20180111:2010,0.0,0.0,0.0,4.8,1.38,0.0
20180111:2110,0.0,0.0,0.0,4.27,1.52,0.0
20180111:2210,0.0,0.0,0.0,4.01,1.45,0.0
20180111:2310,0.0,0.0,0.0,3.89,1.38,0.0
20180112:0010,0.0,0.0,0.0,3.92,1.24,0.0
20180112:0110,0.0,0.0,0.0,4.01,1.24,0.0
20180112:0210,0.0,0.0,0.0,4.28,1.1,0.0
20180112:0310,0.0,0.0,0.0,4.31,1.1,0.0
20180112:0410,0.0,0.0,0.0,4.28,1.17,0.0
20180112:0510,0.0,0.0,0.0,4.21,1.17,0.0
20180112:0610,0.0,0.0,0.0,4.12,1.1,0.0
20180112:0710,0.0,0.0,0.0,4.37,1.38,0.0
20180112:0810,73.9,19.0,4.12,4.36,1.31,0.0
20180112:0910,354.6,56.0,10.34,4.39,1.17,0.0
20180112:1010,356.9,56.0,14.8,4.41,1.03,0.0
20180112:1110,525.1,76.0,17.13,4.48,1.17,0.0
20180112:1210,430.9,65.0,17.09,4.96,1.31,0.0
20180112:1310,547.2,79.0,14.7,5.32,1.24,0.0
20180112:1410,320.3,52.0,10.18,5.29,1.1,0.0
20180112:1510,36.2,13.0,3.91,5.31,0.9,0.0
20180112:1610,0.0,0.0,0.0,5.18,0.62,0.0
20180112:1710,0.0,0.0,0.0,5.08,0.34,0.0
20180112:1810,0.0,0.0,0.0,5.01,0.34,0.0
20180112:1910,0.0,0.0,0.0,4.71,0.62,0.0
20180112:2010,0.0,0.0,0.0,4.61,0.83,0.0
20180112:2110,0.0,0.0,0.0,4.48,0.97,0.0
20180112:2210,0.0,0.0,0.0,4.57,1.1,0.0
20180112:2310,0.0,0.0,0.0,4.58,1.38,0.0
20180113:0010,0.0,0.0,0.0,4.69,1.52,0.0
20180113:0110,0.0,0.0,0.0,4.84,1.66,0.0
20180113:0210,0.0,0.0,0.0,4.77,1.79,0.0
20180113:0310,0.0,0.0,0.0,4.47,2.0,0.0
20180113:0410,0.0,0.0,0.0,4.47,2.28,0.0
20180113:0510,0.0,0.0,0.0,4.45,2.48,0.0
20180113:0610,0.0,0.0,0.0,4.36,2.48,0.0
20180113:0710,0.0,0.0,0.0,4.38,2.62,0.0
20180113:0810,48.5,15.0,4.22,4.11,3.03,0.0
20180113:0910,212.5,38.0,10.46,4.43,3.52,0.0
20180113:1010,534.7,77.0,14.94,4.76,4.14,0.0
20180113:1110,982.9,129.0,17.28,5.23,4.9,0.0
20180113:1210,1091.2,142.0,17.26,5.73,4.62,0.0
20180113:1310,1018.9,136.0,14.88,6.1,4.0,0.0
20180113:1410,729.8,109.0,10.37,6.12,3.86,0.0
20180113:1510,97.0,24.35,4.1,5.62,3.52,0.0
20180113:1610,0.0,0.0,0.0,4.72,3.59,0.0
20180113:1710,0.0,0.0,0.0,4.62,4.07,0.0
20180113:1810,0.0,0.0,0.0,4.22,4.14,0.0
20180113:1910,0.0,0.0,0.0,3.54,3.66,0.0
20180113:2010,0.0,0.0,0.0,3.41,3.59,0.0
20180113:2110,0.0,0.0,0.0,3.65,3.59,0.0
20180113:2210,0.0,0.0,0.0,3.57,3.52,0.0
20180113:2310,0.0,0.0,0.0,3.47,3.45,0.0
20180114:0010,0.0,0.0,0.0,3.3,3.38,0.0
20180114:0110,0.0,0.0,0.0,3.1,3.38,0.0
20180114:0210,0.0,0.0,0.0,2.58,3.38,0.0
20180114:0310,0.0,0.0,0.0,2.05,3.45,0.0
20180114:0410,0.0,0.0,0.0,1.64,3.66,0.0
20180114:0510,0.0,0.0,0.0,1.32,3.72,0.0
20180114:0610,0.0,0.0,0.0,1.08,3.72,0.0
20180114:0710,0.0,0.0,0.0,1.43,4.07,0.0
20180114:0810,125.9,45.3,4.33,1.2,4.14,0.0
20180114:0910,990.6,156.01,10.59,1.73,4.14,0.0
20180114:1010,1763.6,238.01,15.09,2.56,4.76,0.0
20180114:1110,1757.5,222.01,17.45,3.45,4.9,0.0
20180114:1210,1419.5,180.0,17.44,4.06,4.76,0.0
20180114:1310,1593.0,213.01,15.07,4.41,4.55,0.0
20180114:1410,778.8,115.0,10.56,4.41,4.21,0.0
20180114:1510,124.5,41.84,4.29,3.9,3.72,0.0
20180114:1610,0.0,0.0,0.0,2.89,3.86,0.0
20180114:1710,0.0,0.0,0.0,2.21,4.07,0.0
20180114:1810,0.0,0.0,0.0,1.85,4.21,0.0
20180114:1910,0.0,0.0,0.0,1.52,4.28,0.0
20180114:2010,0.0,0.0,0.0,1.51,4.21,0.0
20180114:2110,0.0,0.0,0.0,1.36,4.14,0.0
20180114:2210,0.0,0.0,0.0,1.31,4.07,0.0
20180114:2310,0.0,0.0,0.0,1.42,4.0,0.0
20180115:0010,0.0,0.0,0.0,1.71,3.93,0.0
20180115:0110,0.0,0.0,0.0,1.78,3.79,0.0
20180115:0210,0.0,0.0,0.0,1.99,3.72,0.0
20180115:0310,0.0,0.0,0.0,2.29,3.66,0.0
20180115:0410,0.0,0.0,0.0,2.43,3.59,0.0
20180115:0510,0.0,0.0,0.0,2.88,3.59,0.0
20180115:0610,0.0,0.0,0.0,3.48,3.66,0.0
20180115:0710,0.0,0.0,0.0,3.69,4.0,0.0
20180115:0810,82.2,20.82,4.44,4.25,4.21,0.0
20180115:0910,680.3,99.0,10.72,5.12,4.55,0.0
20180115:1010,1158.4,153.0,15.24,5.96,5.03,0.0
20180115:1110,959.5,127.0,17.62,6.61,4.41,0.0
20180115:1210,470.4,70.0,17.63,6.79,5.24,0.0
20180115:1310,557.0,80.0,15.27,6.45,7.17,0.0
20180115:1410,150.4,30.0,10.76,6.04,6.9,0.0
20180115:1510,119.7,28.1,4.49,5.79,6.97,0.0
20180115:1610,0.0,0.0,0.0,5.6,7.24,0.0
20180115:1710,0.0,0.0,0.0,5.07,7.59,0.0
20180115:1810,0.0,0.0,0.0,4.8,8.28,0.0
20180115:1910,0.0,0.0,0.0,5.04,8.0,0.0
20180115:2010,0.0,0.0,0.0,5.17,7.86,0.0
20180115:2110,0.0,0.0,0.0,5.46,6.97,0.0
20180115:2210,0.0,0.0,0.0,6.2,6.21,0.0
20180115:2310,0.0,0.0,0.0,6.79,6.14,0.0
20180116:0010,0.0,0.0,0.0,6.59,6.28,0.0
20180116:0110,0.0,0.0,0.0,5.95,6.28,0.0
20180116:0210,0.0,0.0,0.0,5.53,5.45,0.0
20180116:0310,0.0,0.0,0.0,5.46,5.59,0.0
20180116:0410,0.0,0.0,0.0,5.66,5.45,0.0
20180116:0510,0.0,0.0,0.0,5.73,6.07,0.0
20180116:0610,0.0,0.0,0.0,5.46,5.72,0.0
20180116:0710,0.0,0.0,0.0,5.2,5.31,0.0
20180116:0810,141.1,31.0,4.56,5.52,5.45,0.0
20180116:0910,820.3,120.0,10.86,5.36,7.52,0.0
20180116:1010,87.2,21.0,15.4,4.77,7.86,0.0
20180116:1110,962.4,126.0,17.8,4.76,5.86,0.0
20180116:1210,290.8,48.0,17.82,5.43,4.97,0.0
20180116:1310,181.1,34.0,15.47,5.14,5.24,0.0
20180116:1410,93.8,22.0,10.96,5.15,5.45,0.0
20180116:1510,0.0,5.0,4.69,4.15,6.28,0.0
20180116:1610,0.0,0.0,0.0,3.36,5.24,0.0
20180116:1710,0.0,0.0,0.0,3.05,4.34,0.0
20180116:1810,0.0,0.0,0.0,2.6,4.48,0.0
20180116:1910,0.0,0.0,0.0,2.58,4.07,0.0
20180116:2010,0.0,0.0,0.0,2.44,3.79,0.0
20180116:2110,0.0,0.0,0.0,2.54,4.14,0.0
20180116:2210,0.0,0.0,0.0,2.44,4.48,0.0
20180116:2310,0.0,0.0,0.0,2.41,4.41,0.0
20180117:0010,0.0,0.0,0.0,2.58,3.72,0.0
20180117:0110,0.0,0.0,0.0,2.07,3.93,0.0
20180117:0210,0.0,0.0,0.0,1.58,5.31,0.0
20180117:0310,0.0,0.0,0.0,1.71,6.0,0.0
20180117:0410,0.0,0.0,0.0,1.47,5.79,0.0
20180117:0510,0.0,0.0,0.0,1.06,5.59,0.0
20180117:0610,0.0,0.0,0.0,1.02,6.41,0.0
20180117:0710,0.0,0.0,0.0,0.95,6.62,0.0
20180117:0810,155.4,47.83,4.69,0.94,6.34,0.0
20180117:0910,802.0,114.0,11.01,1.29,6.21,0.0
20180117:1010,296.4,48.0,15.57,1.67,5.59,0.0
20180117:1110,239.3,41.0,17.99,1.85,5.38,0.0
20180117:1210,1695.4,211.0,18.02,2.3,5.79,0.0
20180117:1310,238.5,41.0,15.67,2.51,5.38,0.0
20180117:1410,732.9,104.0,11.17,3.03,6.55,0.0
20180117:1510,74.4,19.0,4.9,3.38,6.76,0.0
20180117:1610,0.0,0.0,0.0,3.09,6.48,0.0
20180117:1710,0.0,0.0,0.0,2.49,5.66,0.0
20180117:1810,0.0,0.0,0.0,2.31,5.31,0.0
20180117:1910,0.0,0.0,0.0,1.93,4.83,0.0
20180117:2010,0.0,0.0,0.0,2.03,4.83,0.0
20180117:2110,0.0,0.0,0.0,2.07,4.83,0.0
20180117:2210,0.0,0.0,0.0,2.2,4.62,0.0
20180117:2310,0.0,0.0,0.0,2.05,4.48,0.0
20180118:0010,0.0,0.0,0.0,2.3,4.62,0.0
20180118:0110,0.0,0.0,0.0,2.39,4.76,0.0
20180118:0210,0.0,0.0,0.0,2.49,4.69,0.0
20180118:0310,0.0,0.0,0.0,2.51,4.69,0.0
20180118:0410,0.0,0.0,0.0,2.83,5.72,0.0
20180118:0510,0.0,0.0,0.0,3.03,7.17,0.0
20180118:0610,0.0,0.0,0.0,4.39,8.69,0.0
20180118:0710,0.0,0.0,0.0,5.67,9.38,0.0
20180118:0810,140.7,31.06,4.83,7.4,10.41,0.0
20180118:0910,897.1,133.0,11.16,8.25,11.24,0.0
20180118:1010,1246.5,164.0,15.74,8.4,12.28,0.0
20180118:1110,908.6,121.0,18.18,7.92,12.83,0.0
20180118:1210,1608.3,203.0,18.23,6.79,11.45,0.0
20180118:1310,1259.0,164.0,15.89,6.09,9.31,0.0
20180118:1410,1081.8,168.01,11.39,5.66,7.52,0.0
20180118:1510,180.1,53.94,5.11,5.19,6.48,0.0
20180118:1610,0.0,0.0,0.0,4.53,5.38,0.0
20180118:1710,0.0,0.0,0.0,4.13,4.34,0.0
20180118:1810,0.0,0.0,0.0,3.5,3.66,0.0
20180118:1910,0.0,0.0,0.0,3.01,3.03,0.0
20180118:2010,0.0,0.0,0.0,2.7,2.55,0.0
20180118:2110,0.0,0.0,0.0,2.4,2.07,0.0
20180118:2210,0.0,0.0,0.0,2.12,2.07,0.0
20180118:2310,0.0,0.0,0.0,1.71,2.41,0.0
20180119:0010,0.0,0.0,0.0,1.76,3.03,0.0
20180119:0110,0.0,0.0,0.0,1.42,3.03,0.0
20180119:0210,0.0,0.0,0.0,1.64,3.38,0.0
20180119:0310,0.0,0.0,0.0,1.95,3.93,0.0
20180119:0410,0.0,0.0,0.0,2.21,4.83,0.0
20180119:0510,0.0,0.0,0.0,2.1,4.97,0.0
20180119:0610,0.0,0.0,0.0,2.15,4.9,0.0
20180119:0710,0.0,0.0,0.0,1.9,4.55,0.0
20180119:0810,174.6,37.72,4.97,1.73,4.41,0.0
